threshold,accuracy,precision,recall,f1
0.3,0.5768489398397079,0.5410227241197525,0.9927702255485973,0.7003699579756474
0.32,0.5970122755402252,0.5534229411094658,0.98946082175042,0.709827054075278
0.34,0.6175560515369788,0.5668444496542023,0.9848276564329719,0.719538733376732
0.36000000000000004,0.6385309932028,0.5813925388914062,0.9799399215925869,0.729799416069465
0.38000000000000006,0.6604950796388354,0.5980069568487355,0.9715900412402627,0.7403398510242085
0.4000000000000001,0.6824338033884549,0.6160516364584692,0.9621709688916043,0.7511576604328557
0.4200000000000001,0.7031804808765344,0.6351931330472103,0.9494424927447686,0.7611583909875712
0.4400000000000001,0.722633661357411,0.6555297480793282,0.9340155796548038,0.7703775248813673
0.46000000000000013,0.7391954955868926,0.6761804352737405,0.914311898579502,0.7774194246628715
0.48000000000000015,0.7544891954955869,0.6989732731413048,0.8907896746601497,0.7833094555873925
0.5000000000000002,0.7689205640661458,0.725,0.8637543913242707,0.7883181152854255
0.5200000000000002,0.7785330222177133,0.7509085054510327,0.8311185784837839,0.7889801836636056
0.5400000000000003,0.7831490311453789,0.7770671996002998,0.7918639580469427,0.7843958039136575
0.5600000000000003,0.7840113624835142,0.8060522696011004,0.745888702204572,0.7748043156335942
0.5800000000000003,0.7755909505934868,0.8311345646437994,0.6896288376355583,0.7537982080249318
0.6000000000000003,0.7625545297757939,0.8576797271904795,0.6274629601344127,0.724728021170244
0.6200000000000003,0.7429745358628386,0.881776564131395,0.5589837584644366,0.6842203664464664
0.6400000000000003,0.719742315106016,0.9041302098033681,0.4892826230843643,0.6349520977865873
0.6600000000000004,0.6959267525616313,0.9239804964539007,0.4245201364492643,0.5817547531833246
0.6800000000000004,0.6717561124074262,0.9404339250493097,0.36413624560867575,0.5249944946047126
0.7000000000000004,0.6446180379425789,0.9511139605706043,0.3021231098212922,0.4585780525502318
0.7200000000000004,0.6199908694328903,0.9624702144559174,0.24677969553485057,0.39283543380475744
0.7400000000000004,0.5935629501876839,0.9643040575243965,0.19118171172547221,0.31909921393669005
0.7600000000000005,0.5711169727097494,0.9700516351118761,0.143475383127132,0.24997782311718264
0.7800000000000005,0.5514101653647154,0.9747327502429544,0.10213329260220966,0.1848933130559012
0.8000000000000005,0.5352287714314701,0.9768115942028985,0.0686319433837381,0.12825269968127112
0.8200000000000005,0.5225727909100132,0.9755529685681025,0.04266585204419327,0.08175609756097561
0.8400000000000005,0.5142791924520645,0.9693486590038314,0.025762435721195458,0.050190943807965085
0.8600000000000005,0.5100689865070508,0.9655172413793104,0.017107071941347182,0.03361849016959328
0.8800000000000006,0.5071269148828244,0.9642857142857143,0.010997403390866045,0.021746790838157563
0.9000000000000006,0.5055797910114639,0.9622641509433962,0.007789827401863449,0.015454545454545455
