threshold,accuracy,precision,recall,f1
0.3,0.8361302154974782,0.7561886322776933,0.9956300072833212,0.8595457046294113
0.32,0.8375974323704722,0.7579370580895605,0.9954479242534596,0.8606060606060606
0.34,0.8394314534617148,0.7601168126825198,0.995265841223598,0.8619411811085705
0.36,0.8406235671710225,0.7615663322185061,0.9950837581937363,0.8628039153773287
0.4,0.8434662998624484,0.765018904915278,0.9947195921340131,0.8648777012586084
0.38,0.8422741861531408,0.7636287391668997,0.9947195921340131,0.8639886130001582
0.42,0.8462173314993122,0.7683973547206979,0.9943554260742898,0.8668941979522184
0.46,0.8500687757909215,0.7730426164519326,0.9941733430444283,0.8697729988052568
0.44,0.8484181568088033,0.7710775314221155,0.9941733430444283,0.8685277976616559
0.52,0.8564878496102705,0.7808611071377486,0.9939912600145666,0.874629496114716
0.5,0.8542870243007794,0.7781895937277263,0.9939912600145666,0.8729511473574798
0.48,0.8517193947730399,0.7750958398409769,0.9939912600145666,0.8710011966493817
0.54,0.8578633654287025,0.7827833572453372,0.9934450109249818,0.8756218905472637
0.56,0.8595139844108207,0.7853025936599424,0.992352512745812,0.8767696267696268
0.58,0.861164603392939,0.7874277456647398,0.9921704297159505,0.8780212697389623
0.6,0.8637322329206786,0.7907955865272939,0.9918062636562273,0.879967689822294
0.62,0.8659330582301696,0.7939031505250875,0.9910779315367808,0.8816002591512796
0.64,0.8674002751031636,0.7967145790554415,0.989075018208303,0.8825345247766044
0.66,0.870518110958276,0.8008849557522124,0.9887108521485798,0.8849413298565841
0.68,0.8736359468133884,0.8054648054648055,0.98761835396941,0.8872893832815312
